city,GDP(亿元),people(万)
上海市,32679,2418
北京市,30320,2171
深圳市,24691,1253
广州市,23000,1450
重庆市,20363,3372
天津市,18809,1557
苏州市,18597,1068
成都市,15342,1605
武汉市,14847,1112
杭州市,13500,949
南京市,12820,850
青岛市,12561,929
长沙市,11527,800
无锡市,11438,655
宁波市,10745,801
佛山市,10550,846
郑州市,10200,1012
济南市,8862,870
泉州市,8467,865
南通市,8427,731
西安市,8349,1255
东莞市,8300,832
烟台市,8006,706
福州市,7856,766
大连市,7825,702
合肥市,7822,803
唐山市,7159,1024
长春市,7085,749
常州市,7050,520
哈尔滨市,7002,1093
石家庄市,6963,1078
潍坊市,6805,936
徐州市,6755,892
沈阳市,6350,829
温州市,6006,919
盐城市,5487,724
扬州市,5466,500
绍兴市,5416,501
昆明市,5350,726
淄博市,5292,470
南昌市,5274,546
泰州市,5107,508
济宁市,4930,835
台州市,4874,611
嘉兴市,4871,455
厦门市,4791,401
临沂市,4750,1150
洛阳市,4640,700
东营市,4507,209
南宁市,4480,756
襄阳市,4309,550
惠州市,4150,481
金华市,4127,545
宜昌市,4064,432
镇江市,4050,319
威海市,3949,282
沧州市,3944,778
漳州市,3941,514
太原市,3884,438
榆林市,3848,340
邯郸市,3846,949
贵阳市,3800,486
"<span data-code='600295,1,1' data-type='1' class='zwstock'>鄂尔多斯</span>市",3763,201
中山市,3759,356
泰安市,3721,563
包头市,3660,288
淮安市,3601,564
岳阳市,3489,573
保定市,3396,1046
德州市,3380,562
聊城市,3348,605
衡阳市,3288,734
芜湖市,3279,370
菏泽市,3202,843
廊坊市,3194,450
乌鲁木齐市,3184,352
南阳市,3176,1011
茂名市,3110,747
湛江市,3012,830
吉林市,2989,441
珠海市,2966,177
江门市,2900,448
柳州市,3083,400
许昌市,2835,431
赣州市,2831,974
大庆市,2800,293
滨州市,2787,391
株洲市,2781,402
"<span data-code='601008,1,1' data-type='1' class='zwstock'>连云港</span>市",2771,452
宿迁市,2750,491
湖州市,2719,300
九江市,2700,487
周口市,2687,880
<strong>兰州市,2582,401
新乡市,2526,614
郴州市,2427,473
枣庄市,2402,392
